,Title,Review
0,Business Owners AVOID at all costs..,"American Express Open... openly takes full control of your business and leaves you in the dust.You make a large purchase and use pay over time ""when approved"" then they take it away the following month making you pay the full amount or get hit with a hefty interest rate.For businesses you can not change ownership of the card. On the phone they make you think they are changing the ownership to another partner at your company but in reality they are just opening a new account under the new card holder. Our business lost our American Express account, once we approved the transfer and the receiving member in our LLC accepted it. American express did a hard pull on their personal credit and he was denied. Now we had no control over our account. No logins, no cards, because the receiver was not approved.Lets just say we will never use American Express again for any personal, business, financing and will tell everyone within our network to make the switch. I asked to talk to a manager and customer support said no. This is a horrible company that strives off annual payment fees, shady pay over time approval and denials and high interest rates.All business owners avoid at all costs.EDIT: I have been a business customer with AMEX for 3 years, don't get stuck with them like we did."
1,"Look elsewhere...Visa, MasterCard or Discover are WAY BETTER","So I requested a credit line increase because American Express only give me $1,000 credit limit. Since the limit is so small I use it and then I pay it off right away. Yes my credit may not be perfect it's about 663. But given the fact that I have other cards such as Wells Fargo Visa, discover, capital one Quicksilver, and two Credit Union Visas American Express would not even raise my limit to $1,500. My credit utilization at this time is at 15%. So what I'm going to do is stop making purchases with this card and rely on my other cards that actually value me as a customer."
2,AMERICAN EXPRESS - THE COMPANY YOU CAN'T RELY ON,Booked a holiday & paid by American Express for nearly £5200. Holiday was cancelled by tour operator & American Express have refused to give me my money back 2 months after holiday should have taken place.despite the fact that under S75 they are jointly responsible with the travel company. AMERICAN EXPRESS - THE COMPANY YOU CAN'T RELY ON
3,Never get an amex card,flights cancelled with airline.Been trying for weeks to get refund from useless amex. Easy with Nationwide Visa so do yourselves a favour and get any visa card but never ever an amex card.
4,The Platinum Perennial Torture!,"The Platinum Perennial Torture!Despite being Amex Biz Platinum customer paying full fees for 3 years, American Express Customer Services sucks every time.Their service is rude and every time I get transferred to 4 different times before I am told they cannot help."
5,Good customer support,Great company. Resolved my issues
6,Wonderful Customer Service!!!,I've never had customer service answer me so quickly and they fixed my problem in less that a minute. Very polite as well. Wonderful customer service!!!
7,I had a dispute opened with TravelUp.,"I had a dispute opened with TravelUp.Whereas my hotel was closed and refunded TravelUp, and TravelUp cancelled the booking I discovered that TravelUp won the case.I asked Amex for more details, and they told me TravelUP provided their T&C. BUT they have UPDATED their T&C after I paid. And they provided the new one to Amex.It’s illegal, and Amex dispute service wasn’t even able to see it’s illegal ! Ask to escalate to section 75 and bring Amex to small claim court !"
8,The worst!,I would give their customer service a Zero if I could!
9,So unhelpful with disputes and customer service,"I applied for a refund to Ryanair as our flights were cancelled due to Coronavirus. Their Disputes process was bad enough and they sent me a voucher instead of a refund. Having paid £140 a year for a gold card with Amex I knew part of this was the protection they offer as part of the benefits. Was I wrong!! The Disputes Team asked for information which I couldn’t upload (their systems say it’s too big). After multiple chats I resorted to phoning them. I then had a letter advising they're closing the dispute, because they never received any correspondence from me. I then had to call the customer service team to have the dispute reopened and they told me the inbox with my information was deleted as the person I spoke with had not advised the Dispute Team to expect me email. I sent it again and repeated the whole process. I have received another generic letter to say the information was insufficient and they have closed the dispute. They never pick up the phone to discuss the matter with you. They advertise themselves as having your back but they really don’t. They make all of the right noises on the phone but dealing with them is like banging your head up against a brick wall. Avoid American Express. Reading about other high street banks, they seem to be treating their customers better."
